Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,192.100006,194.479996,191.039993,193.309998,161.274490,902100
2015-01-05,192.899994,194.500000,188.600006,189.289993,157.920715,1506200
2015-01-06,189.619995,190.990005,186.800003,188.399994,157.178223,1205800
2015-01-07,189.320007,191.020004,189.220001,190.830002,159.205536,941900
2015-01-08,190.899994,196.880005,190.899994,195.130005,162.792877,1950900
2015-01-09,195.089996,197.070007,194.820007,195.020004,162.701157,1439500
2015-01-12,195.509995,196.229996,193.710007,194.470001,162.242264,896400
2015-01-13,196.139999,198.440002,192.679993,194.350006,162.142166,1095000
2015-01-14,194.149994,194.240005,191.630005,193.229996,161.207764,1101100
2015-01-15,194.160004,194.729996,191.850006,192.369995,160.490326,896600
2015-01-16,191.880005,194.770004,191.880005,194.710007,162.442490,1085600
2015-01-20,196.630005,196.990005,193.009995,195.750000,163.310165,857800
2015-01-21,195.000000,196.750000,194.110001,195.500000,163.101624,966600
2015-01-22,197.000000,198.559998,195.279999,198.089996,165.262329,1307900
2015-01-23,197.990005,198.880005,196.949997,197.440002,164.720078,1313000
2015-01-26,196.250000,196.919998,193.029999,195.679993,163.251740,1338900
2015-01-27,193.000000,193.490005,190.320007,190.550003,158.971878,1942700
2015-01-28,191.839996,194.800003,189.000000,189.250000,157.887329,1570400
2015-01-29,189.259995,192.529999,187.100006,192.500000,160.598770,2017000
2015-01-30,189.770004,190.960007,188.279999,188.369995,157.153168,2287900
2015-02-02,188.410004,189.759995,186.009995,189.330002,157.954102,1554000
2015-02-03,190.380005,192.300003,189.589996,192.000000,160.181641,1618200
2015-02-04,191.339996,193.529999,190.619995,192.279999,160.415192,1230900
2015-02-05,193.080002,194.470001,191.580002,194.059998,161.900223,1063200
2015-02-06,194.289993,196.949997,192.899994,195.240005,162.884674,1127100
2015-02-09,194.350006,194.990005,192.699997,193.020004,161.032578,1208300
2015-02-10,195.100006,195.979996,193.880005,195.669998,163.243439,1280600
2015-02-11,195.169998,197.179993,195.000000,196.309998,163.777344,1439300
2015-02-12,196.710007,198.229996,196.389999,197.479996,164.753479,1217900
2015-02-13,197.289993,198.389999,196.190002,196.949997,164.311295,1253900
2015-02-17,196.529999,198.300003,195.770004,197.570007,164.828568,1023300
2015-02-18,197.570007,198.580002,196.949997,198.570007,165.662796,902000
2015-02-19,198.559998,201.740005,197.970001,201.710007,168.282455,1775000
2015-02-20,200.860001,204.000000,200.279999,203.990005,170.184677,1301400
2015-02-23,204.000000,205.660004,203.199997,205.589996,171.519485,1440600
2015-02-24,205.509995,206.929993,204.820007,206.619995,172.378769,1168600
2015-02-25,207.050003,207.059998,204.500000,204.860001,170.910431,2759800
2015-02-26,203.250000,203.839996,200.529999,201.330002,169.204376,1349700
2015-02-27,201.000000,201.940002,200.000000,200.050003,168.128601,1311400
2015-03-02,200.050003,203.130005,200.050003,203.020004,170.624725,1037400
2015-03-03,202.449997,202.449997,199.429993,199.929993,168.027771,1312100
2015-03-04,199.699997,200.080002,198.779999,198.970001,167.220901,851400
2015-03-05,199.369995,200.029999,198.750000,199.100006,167.330261,872300
2015-03-06,198.380005,198.639999,196.710007,197.660004,166.119995,1220300
2015-03-09,197.419998,200.490005,197.210007,199.740005,167.868073,887600
2015-03-10,198.410004,198.979996,197.309998,197.580002,166.052719,1087100
2015-03-11,197.940002,198.410004,196.910004,197.210007,165.741760,953000
2015-03-12,197.539993,198.949997,197.539993,198.779999,167.061279,1047200
2015-03-13,197.970001,199.009995,195.600006,197.110001,165.657761,1155400
2015-03-16,198.220001,202.300003,198.100006,202.110001,169.859924,1198000
2015-03-17,201.479996,202.000000,200.029999,200.669998,168.649704,936600
2015-03-18,200.770004,203.490005,198.360001,202.600006,170.271729,872800
2015-03-19,202.500000,203.360001,201.039993,202.190002,169.927139,1178000
2015-03-20,203.050003,204.039993,201.669998,203.770004,171.255020,3938100
2015-03-23,203.330002,204.589996,202.919998,202.919998,170.540665,1028100
2015-03-24,202.339996,204.369995,200.949997,203.300003,170.860031,1250900
2015-03-25,203.339996,204.000000,199.000000,199.020004,167.262985,1338200
2015-03-26,197.570007,201.119995,196.259995,200.559998,168.557220,1499700
2015-03-27,200.559998,202.869995,200.240005,202.229996,169.960770,1256400
2015-03-30,203.500000,206.190002,203.000000,204.889999,172.196304,1049000
2015-03-31,203.460007,205.169998,202.960007,202.960007,170.574295,1261500
2015-04-01,202.100006,202.470001,197.429993,198.759995,167.044495,1897200
2015-04-02,199.369995,199.559998,197.669998,198.720001,167.010788,1387600
2015-04-06,199.330002,201.119995,197.850006,200.529999,168.532028,1366300
2015-04-07,201.000000,202.550003,199.899994,200.149994,168.212677,1084800
2015-04-08,200.449997,201.889999,199.630005,200.809998,168.767349,944800
2015-04-09,200.520004,201.910004,200.289993,201.440002,169.296829,828100
2015-04-10,201.369995,202.190002,200.279999,200.399994,168.422745,1279000
2015-04-13,200.029999,201.130005,196.820007,197.050003,165.607330,2130400
2015-04-14,196.889999,197.770004,196.350006,197.339996,165.851044,1586900
2015-04-15,198.270004,199.460007,197.039993,197.210007,165.741760,1154300
2015-04-16,196.580002,198.039993,195.669998,197.119995,165.666168,1065300
2015-04-17,195.800003,196.440002,193.940002,194.820007,163.733139,1229900
2015-04-20,195.279999,197.649994,195.000000,196.800003,165.397217,1276600
2015-04-21,198.050003,198.339996,195.110001,196.289993,164.968597,1421000
2015-04-22,196.699997,198.089996,195.210007,197.630005,166.094788,1127300
2015-04-23,197.490005,198.929993,196.050003,197.199997,165.733353,1178700
2015-04-24,197.009995,197.240005,195.000000,195.369995,164.195374,1307400
2015-04-27,195.639999,196.580002,193.529999,193.839996,162.909531,1377700
2015-04-28,193.750000,194.270004,191.589996,194.020004,163.060837,1095600
2015-04-29,193.380005,194.070007,190.929993,191.289993,160.766449,1427200
2015-04-30,190.970001,191.460007,185.649994,186.600006,156.824814,2257200
2015-05-01,186.800003,189.149994,186.800003,189.000000,158.841797,1196000
2015-05-04,189.199997,190.850006,189.149994,189.690002,159.421738,912400
2015-05-05,189.250000,189.899994,187.110001,187.350006,157.455093,993600
2015-05-06,188.509995,189.070007,185.910004,186.830002,157.018082,1192200
2015-05-07,186.649994,188.949997,186.339996,188.210007,158.177902,1040700
2015-05-08,189.960007,191.039993,189.479996,190.479996,160.085663,950500
2015-05-11,189.809998,191.179993,189.539993,190.470001,160.077240,832000
2015-05-12,189.220001,191.309998,188.550003,190.610001,160.194916,941800
2015-05-13,190.970001,191.990005,190.809998,191.000000,160.522690,980900
2015-05-14,191.619995,193.350006,191.470001,193.050003,162.245590,1004500
2015-05-15,193.029999,193.809998,192.100006,192.360001,161.665665,1356500
2015-05-18,192.449997,193.630005,192.360001,193.080002,162.270813,822100
2015-05-19,193.020004,194.309998,192.910004,193.380005,162.522919,772100
2015-05-20,193.899994,193.899994,192.460007,193.250000,162.413696,826500
2015-05-21,193.570007,193.940002,192.520004,193.110001,162.296036,769700
2015-05-22,193.259995,193.360001,192.160004,192.860001,162.085907,995600
2015-05-26,192.679993,192.679993,190.139999,190.509995,160.110855,1380400
2015-05-27,190.449997,191.589996,190.039993,191.350006,160.816864,1196100
2015-05-28,189.410004,190.759995,188.929993,190.119995,161.045517,1468900
2015-05-29,189.929993,190.100006,187.619995,188.199997,159.419159,1517400
2015-06-01,189.479996,192.250000,188.369995,191.070007,161.850250,2003600
2015-06-02,190.610001,191.289993,188.800003,190.770004,161.596146,1469200
2015-06-03,191.419998,192.330002,190.789993,191.889999,162.544907,1340300
2015-06-04,190.759995,192.289993,189.990005,190.169998,161.087921,1854000
2015-06-05,189.410004,189.770004,188.429993,189.330002,160.376343,1389100
2015-06-08,189.339996,190.830002,189.059998,189.369995,160.410248,964800
2015-06-09,190.429993,190.539993,189.300003,189.350006,160.393326,1041200
2015-06-10,189.350006,190.649994,188.839996,189.279999,160.333984,1729300
2015-06-11,189.419998,191.539993,189.419998,191.479996,162.197540,1333100
2015-06-12,190.589996,191.529999,190.220001,190.979996,161.774063,1110100
2015-06-15,190.000000,190.580002,189.009995,189.919998,160.876144,710600
2015-06-16,189.259995,191.139999,188.889999,190.820007,161.638489,853800
2015-06-17,191.360001,191.779999,189.720001,191.020004,161.807922,862100
2015-06-18,191.500000,194.490005,191.389999,192.750000,163.273346,1159700
2015-06-19,192.690002,192.690002,190.990005,191.139999,161.909561,1234900
2015-06-22,191.949997,192.979996,191.660004,192.080002,162.705841,716800
2015-06-23,192.429993,192.949997,190.880005,191.639999,162.333099,572900
2015-06-24,191.220001,191.789993,190.119995,190.169998,161.087921,857600
2015-06-25,190.500000,191.169998,189.679993,189.990005,160.935440,884900
2015-06-26,190.529999,190.559998,188.509995,188.639999,159.791931,1876300
2015-06-29,187.589996,188.520004,185.410004,185.520004,157.149033,1202600
2015-06-30,187.169998,187.789993,185.330002,185.899994,157.470917,1275200
2015-07-01,186.009995,188.289993,186.009995,188.169998,159.393738,950000
2015-07-02,188.710007,188.789993,186.759995,187.300003,158.656815,1024500
2015-07-06,186.729996,188.479996,186.419998,187.990005,159.241302,902600
2015-07-07,188.570007,190.279999,187.539993,190.160004,161.079483,1328500
2015-07-08,188.509995,191.330002,188.289993,190.050003,160.986252,1528200
2015-07-09,191.759995,193.119995,191.210007,192.130005,162.748184,1442100
